left_pix, right_pix, x_calc, y_calc
0,0,-13.0487,16.3347
0,1,-13.168,16.5906
0,2,-13.2898,16.8517
0,3,-13.4141,17.1183
0,4,-13.541,17.3906
0,5,-13.6707,17.6687
0,6,-13.8032,17.9528
0,7,-13.9387,18.2433
0,8,-14.0772,18.5403
0,9,-14.2188,18.844
0,10,-14.3637,19.1548
0,11,-14.512,19.4728
0,12,-14.6639,19.7984
0,13,-14.8194,20.1319
0,14,-14.9787,20.4735
0,15,-15.1419,20.8237
0,16,-15.3093,21.1827
0,17,-15.481,21.5509
0,18,-15.6572,21.9287
0,19,-15.838,22.3165
0,20,-16.0237,22.7147
0,21,-16.2145,23.1239
0,22,-16.4106,23.5444
0,23,-16.6122,23.9767
0,24,-16.8196,24.4215
0,25,-17.0331,24.8793
0,26,-17.2529,25.3507
0,27,-17.4794,25.8364
0,28,-17.7129,26.337
0,29,-17.9536,26.8533
0,30,-18.202,27.3861
0,31,-18.4585,27.9362
0,32,-18.7235,28.5045
0,33,-18.9975,29.0919
0,34,-19.2808,29.6995
0,35,-19.5741,30.3285
0,36,-19.8779,30.9799
0,37,-20.1927,31.6551
0,38,-20.5192,32.3553
0,39,-20.8582,33.0822
0,40,-21.2103,33.8373
0,41,-21.5764,34.6224
0,42,-21.9573,35.4392
0,43,-22.3539,36.2898
0,44,-22.7674,37.1765
0,45,-23.1988,38.1017
0,46,-23.6493,39.0679
0,47,-24.1204,40.078
0,48,-24.6134,41.1352
0,49,-25.1299,42.2429
0,50,-25.6718,43.405
0,51,-26.2409,44.6255
0,52,-26.8395,45.9091
0,53,-27.4698,47.261
0,54,-28.1347,48.6867
0,55,-28.8369,50.1927
0,56,-29.5799,51.786
0,57,-30.3673,53.4746
0,58,-31.2033,55.2674
0,59,-32.0926,57.1745
0,60,-33.0405,59.2073
0,61,-34.0531,61.3788
0,62,-35.1373,63.7038
0,63,-36.3011,66.1996
0,64,-37.5536,68.8856
0,65,-38.9055,71.7849
0,66,-40.3693,74.924
0,67,-41.9595,78.3341
0,68,-43.6934,82.0524
0,69,-45.5914,86.1228
0,70,-47.6783,90.5981
0,71,-49.9838,95.5422
0,72,-52.5443,101.033
0,73,-55.405,107.168
0,74,-58.622,114.067
0,75,-62.2666,121.883
0,76,-66.4304,130.812
0,77,-71.2334,141.112
0,78,-76.8351,153.125
0,79,-83.4536,167.319
0,80,-91.3937,184.346
0,81,-101.096,205.154
0,82,-113.222,231.157
0,83,-128.809,264.584
0,84,-149.589,309.146
0,85,-178.677,371.525
0,86,-222.304,465.083
0,87,-295.009,621
0,88,-440.41,932.813
0,89,-876.597,1868.22
0,90,5.80519e+07,-1.24493e+08
0,91,868.054,-1873.19
0,92,431.886,-937.831
0,93,286.489,-626.026
0,94,213.785,-470.112
0,95,170.159,-376.555
0,96,141.071,-314.177
0,97,120.292,-269.615
0,98,104.704,-236.188
0,99,92.5791,-210.185
0,100,82.8765,-189.377
0,101,74.9365,-172.35
0,102,68.3179,-158.156
0,103,62.7163,-146.144
0,104,57.9133,-135.844
0,105,53.7495,-126.914
0,106,50.1049,-119.099
0,107,46.888,-112.2
0,108,44.0273,-106.065
0,109,41.4668,-100.574
0,110,39.1613,-95.6299
0,111,37.0744,-91.1546
0,112,35.1764,-87.0843
0,113,33.4425,-83.366
0,114,31.8523,-79.9558
0,115,30.3885,-76.8167
0,116,29.0366,-73.9175
0,117,27.7841,-71.2314
0,118,26.6203,-68.7358
0,119,25.5361,-66.4106
0,120,24.5235,-64.2392
0,121,23.5756,-62.2064
0,122,22.6864,-60.2993
0,123,21.8503,-58.5065
0,124,21.063,-56.818
0,125,20.32,-55.2246
0,126,19.6177,-53.7187
0,127,18.9529,-52.2929
0,128,18.3225,-50.9411
0,129,17.724,-49.6574
0,130,17.1548,-48.4369
0,131,16.613,-47.2749
0,132,16.0964,-46.1672
0,133,15.6034,-45.11
0,134,15.1324,-44.0998
0,135,14.6819,-43.1336
0,136,14.2504,-42.2085
0,137,13.837,-41.3218
0,138,13.4403,-40.4711
0,139,13.0594,-39.6543
0,140,12.6934,-38.8693
0,141,12.3413,-38.1142
0,142,12.0023,-37.3873
0,143,11.6757,-36.687
0,144,11.3609,-36.0118
0,145,11.0572,-35.3604
0,146,10.7639,-34.7315
0,147,10.4805,-34.1239
0,148,10.2066,-33.5364
0,149,9.9416,-32.9681
0,150,9.6851,-32.4181
0,151,9.43666,-31.8853
0,152,9.19592,-31.369
0,153,8.96247,-30.8684
0,154,8.73601,-30.3827
0,155,8.51618,-29.9113
0,156,8.30271,-29.4535
0,157,8.09529,-29.0087
0,158,7.89367,-28.5763
0,159,7.69758,-28.1558
0,160,7.50681,-27.7467
0,161,7.3211,-27.3485
0,162,7.14027,-26.9606
0,163,6.9641,-26.5828
0,164,6.7924,-26.2146
0,165,6.625,-25.8557
0,166,6.46172,-25.5055
0,167,6.30241,-25.1639
0,168,6.14691,-24.8304
0,169,5.99508,-24.5048
0,170,5.84677,-24.1867
0,171,5.70187,-23.876
0,172,5.56023,-23.5722
0,173,5.42174,-23.2753
0,174,5.2863,-22.9848
0,175,5.15379,-22.7006
0,176,5.02411,-22.4225
0,177,4.89716,-22.1503
0,178,4.77284,-21.8837
0,179,4.65107,-21.6226
0,180,4.53177,-21.3667
0,181,4.41484,-21.116
0,182,4.30022,-20.8702
0,183,4.18782,-20.6291
0,184,4.07759,-20.3927
0,185,3.96943,-20.1608
0,186,3.8633,-19.9332
0,187,3.75913,-19.7098
0,188,3.65685,-19.4904
0,189,3.55641,-19.2751
0,190,3.45776,-19.0635
0,191,3.36084,-18.8556
0,192,3.26559,-18.6514
0,193,3.17198,-18.4506
0,194,3.07995,-18.2533
0,195,2.98945,-18.0592
0,196,2.90044,-17.8683
0,197,2.81288,-17.6805
0,198,2.72673,-17.4958
0,199,2.64195,-17.314
0,200,2.5585,-17.135
0,201,2.47634,-16.9588
0,202,2.39545,-16.7854
0,203,2.31577,-16.6145
0,204,2.23729,-16.4462
0,205,2.15997,-16.2804
0,206,2.08378,-16.117
0,207,2.00869,-15.9559
0,208,1.93467,-15.7972
0,209,1.86169,-15.6407
0,210,1.78973,-15.4864
0,211,1.71877,-15.3342
0,212,1.64876,-15.1841
0,213,1.5797,-15.036
0,214,1.51156,-14.8899
0,215,1.44431,-14.7456
0,216,1.37794,-14.6033
0,217,1.31242,-14.4628
0,218,1.24773,-14.3241
0,219,1.18385,-14.1871
0,220,1.12077,-14.0518
0,221,1.05845,-13.9182
0,222,0.996895,-13.7861
0,223,0.936074,-13.6557
0,224,0.875974,-13.5268
0,225,0.816576,-13.3995
0,226,0.757866,-13.2736
0,227,0.699828,-13.1491
0,228,0.642445,-13.026
0,229,0.585705,-12.9043
0,230,0.52959,-12.784
0,231,0.474088,-12.665
0,232,0.419185,-12.5472
0,233,0.364868,-12.4308
0,234,0.311123,-12.3155
0,235,0.257939,-12.2015
0,236,0.205302,-12.0886
0,237,0.153201,-11.9768
0,238,0.101625,-11.8662
0,239,0.0505624,-11.7567
1,0,-12.9053,16.2343
1,1,-13.021,16.4864
1,2,-13.1392,16.7436
1,3,-13.2598,17.0062
1,4,-13.3828,17.2742
1,5,-13.5085,17.5479
1,6,-13.637,17.8275
1,7,-13.7682,18.1132
1,8,-13.9023,18.4053
1,9,-14.0394,18.7039
1,10,-14.1796,19.0092
1,11,-14.3231,19.3217
1,12,-14.47,19.6414
1,13,-14.6203,19.9688
1,14,-14.7743,20.3041
1,15,-14.932,20.6476
1,16,-15.0937,20.9996
1,17,-15.2595,21.3605
1,18,-15.4295,21.7307
1,19,-15.6039,22.1106
1,20,-15.783,22.5005
1,21,-15.9668,22.9008
1,22,-16.1557,23.3122
1,23,-16.3499,23.7349
1,24,-16.5495,24.1697
1,25,-16.7549,24.6169
1,26,-16.9663,25.0771
1,27,-17.184,25.5511
1,28,-17.4082,26.0394
1,29,-17.6393,26.5427
1,30,-17.8777,27.0618
1,31,-18.1237,27.5974
1,32,-18.3777,28.1505
1,33,-18.6401,28.7218
1,34,-18.9113,29.3124
1,35,-19.1919,29.9234
1,36,-19.4823,30.5557
1,37,-19.7831,31.2106
1,38,-20.0948,31.8894
1,39,-20.4181,32.5935
1,40,-20.7538,33.3243
1,41,-21.1024,34.0835
1,42,-21.4649,34.8728
1,43,-21.842,35.694
1,44,-22.2348,36.5492
1,45,-22.6442,37.4407
1,46,-23.0713,38.3709
1,47,-23.5175,39.3423
1,48,-23.9839,40.3579
1,49,-24.472,41.4208
1,50,-24.9835,42.5345
1,51,-25.52,43.7028
1,52,-26.0835,44.9299
1,53,-26.6762,46.2204
1,54,-27.3004,47.5796
1,55,-27.9587,49.013
1,56,-28.6541,50.5272
1,57,-29.3897,52.1291
1,58,-30.1694,53.8268
1,59,-30.9972,55.6293
1,60,-31.8777,57.5466
1,61,-32.8163,59.5904
1,62,-33.8189,61.7736
1,63,-34.8924,64.1112
1,64,-36.0448,66.6204
1,65,-37.285,69.321
1,66,-38.6237,72.2359
1,67,-40.073,75.3919
1,68,-41.6476,78.8205
1,69,-43.3644,82.5588
1,70,-45.2438,86.6512
1,71,-47.3101,91.1506
1,72,-49.593,96.1215
1,73,-52.1283,101.642
1,74,-54.9609,107.81
1,75,-58.1462,114.746
1,76,-61.755,122.604
1,77,-65.8779,131.582
1,78,-70.6336,141.937
1,79,-76.1803,154.015
1,80,-82.7335,168.285
1,81,-90.5958,185.405
1,82,-100.203,206.324
1,83,-112.209,232.468
1,84,-127.643,266.075
1,85,-148.218,310.878
1,86,-177.02,373.593
1,87,-220.218,467.656
1,88,-292.207,624.412
1,89,-436.176,937.903
1,90,-868.062,1878.33
1,91,-1.5809e+08,3.44239e+08
1,92,859.437,-1883.28
1,93,427.544,-942.841
1,94,283.574,-629.346
1,95,211.584,-472.589
1,96,168.386,-378.526
1,97,139.585,-315.812
1,98,119.009,-271.008
1,99,103.575,-237.401
1,100,91.5683,-211.256
1,101,81.9614,-190.337
1,102,74.0991,-173.217
1,103,67.5459,-158.947
1,104,61.9991,-146.869
1,105,57.2435,-136.514
1,106,53.1206,-127.536
1,107,49.5118,-119.678
1,108,46.3264,-112.742
1,109,43.4939,-106.574
1,110,40.9585,-101.054
1,111,38.6757,-96.0829
1,112,36.6094,-91.5834
1,113,34.73,-87.4911
1,114,33.0131,-83.7527
1,115,31.4386,-80.3241
1,116,29.9892,-77.1681
1,117,28.6505,-74.2532
1,118,27.4103,-71.5527
1,119,26.258,-69.0434
1,120,25.1845,-66.7058
1,121,24.1818,-64.5225
1,122,23.2433,-62.4788
1,123,22.3627,-60.5614
