B   T   L   C   R   binary  result
-   -   -   -   -   ------  ------
0   0   0   0   0   00000    0,
0   0   0   0   1   01000    0,
0   0   0   1   0   00100    0,
0   0   0   1   1   01100    0,
0   0   1   0   0   00010    0,
0   0   1   0   1   01010    0,
0   0   1   1   0   00110    0,
0   0   1   1   1   01110    0,
0   1   0   0   0   10000    0,
0   1   0   0   1   11000    0,
0   1   0   1   0   10100    0,
0   1   0   1   1   11100    1,
0   1   1   0   0   10010    0,
0   1   1   0   1   11010    0,
0   1   1   1   0   10110    0,
0   1   1   1   1   11110    1,
1   0   0   0   0   00001    0,
1   0   0   0   1   01001    0,
1   0   0   1   0   00101    0,
1   0   0   1   1   01101    1,
1   0   1   0   0   00011    0,
1   0   1   0   1   01011    0,
1   0   1   1   0   00111    0,
1   0   1   1   1   01111    1,
1   1   0   0   0   10001    0,
1   1   0   0   1   11001    1,
1   1   0   1   0   10101    1,
1   1   0   1   1   11101    1,
1   1   1   0   0   10011    0,
1   1   1   0   1   11011    1,
1   1   1   1   0   10111    1,
1   1   1   1   1   11111    1,



clock ticks, no inline, no lookup: 10971812
clock ticks, inline, no lookup: 10207119
